,site,veg_type,Lat,Lon,Elev(m),DOS,DOE,SOS,EOS,DOY,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,archboldavirx,AG,27.166627,-81.219828,8,2017/2/15,2017/11/2,75,332,260,EVI2,0.349813433,0.296760278,0.340328043,0.295710966,0.246925838,0.14971252,0.300306645,0.173759624,0.316375147,0.268649059,0.246399064,0.302542646,0.310782604,0.142412105,0.29980294,0.264047773,0.30847996,0.301143252,0.32705348,0.223017731,0.443409639,0.499581631,0.550134684,0.558590044,0.575158832,0.614957414,0.527283124,0.48232093,0.4479106,0.374611386,0.450810161,0.355967779,0.406490576,0.549279202,0.442138834,0.503296524,0.440731918,0.354460059,0.305981947,0.398325259,0.358934348,0.448880035,0.146694484,0.350674458,0.357386719,0.35902269
1,archboldavirx,AG,27.166627,-81.219828,8,2018/2/13,2018/11/19,73,349,279,EVI2,0.357773852,0.352652719,0.303659729,0.323620639,0.32403837,0.354802006,0.329587522,0.355346754,0.335541964,0.327117638,0.32207031,0.416605424,0.367308008,0.35270804,0.397711959,0.430294241,0.366609965,0.406513392,0.358718231,0.452780888,0.441249031,0.442125126,0.517277019,0.445372769,0.507365249,0.435997188,0.471606833,0.530160832,0.237159756,0.474630713,0.224040415,0.502412107,0.464982085,0.470538623,0.464634818,0.329119174,0.379409206,0.373914442,0.385594281,0.420080283,0.331515563,0.286325277,0.288636136,0.296768521,0.31917777,0.355918992
2,archboldavir,AG,27.176064,-81.21958,8,2017/3/30,2017/10/26,120,326,210,EVI2,0.366963188,0.338273285,0.3158825,0.321764229,0.282206961,0.322440955,0.319827229,0.316756265,0.329153025,0.319888066,0.313313187,0.394865107,0.359967544,0.355038414,0.387634469,0.396369016,0.372133123,0.387239341,0.368796973,0.46749312,0.429577727,0.446214516,0.499209255,0.337779952,0.532647164,0.411560569,0.480521802,0.514214198,0.321656759,0.441290937,0.27987872,0.416483741,0.452639066,0.496785483,0.43235822,0.344228192,0.382010404,0.347573083,0.375183311,0.39551173,0.328007096,0.340510196,0.304485155,0.318242522,0.320387749,0.353647812
3,archboldavir,AG,27.176064,-81.21958,8,2018/3/25,2018/11/19,115,349,239,EVI2,0.376152524,0.323893852,0.328105272,0.31990782,0.240375551,0.290079903,0.310066937,0.278165776,0.322764086,0.312658493,0.304556065,0.373124791,0.35262708,0.357368787,0.377556979,0.362443791,0.377656281,0.367965289,0.378875714,0.482205351,0.417906424,0.450303905,0.481141491,0.230187135,0.557929078,0.38712395,0.489436772,0.498267564,0.406153762,0.407951162,0.335717025,0.330555375,0.440296048,0.523032342,0.400081621,0.35933721,0.384611603,0.321231724,0.364772341,0.370943177,0.324498629,0.394695115,0.320334174,0.339716523,0.321597729,0.351376631
4,archboldbahia,AG,27.1656,-81.216112,8,2017/5/27,2017/11/26,177,356,183,EVI2,0.38534186,0.309514418,0.340328043,0.31805141,0.198544141,0.257718852,0.300306645,0.239575287,0.316375147,0.305428921,0.295798942,0.351384474,0.345286616,0.359699161,0.36747949,0.328518565,0.383179438,0.348691237,0.388954455,0.496917582,0.406235121,0.454393295,0.463073727,0.122594318,0.583210993,0.362687331,0.498351741,0.48232093,0.490650766,0.374611386,0.39155533,0.24462701,0.427953029,0.549279202,0.367805023,0.374446228,0.387212802,0.294890365,0.354361371,0.346374625,0.320990162,0.448880035,0.336183193,0.361190525,0.322807708,0.349105451
5,archboldbahia,AG,27.1656,-81.216112,8,2018/4/18,2018/11/29,138,359,225,EVI2,0.34401525,0.301018777,0.277836221,0.323620639,0.301285864,0.354802006,0.316524004,0.367226319,0.33840021,0.315121731,0.302135065,0.412163172,0.417240632,0.42326245,0.397711959,0.430294241,0.366609965,0.402829805,0.231303518,0.452780888,0.383823072,0.467581047,0.519042139,0.38396407,0.507365249,0.420489797,0.475922516,0.42081514,0.354238503,0.394224083,0.375900563,0.451859038,0.410212886,0.429893243,0.510682684,0.472695674,0.375233144,0.390312531,0.407601007,0.420080283,0.376230867,0.339319498,0.365082903,0.346516049,0.348326164,0.35597047
6,archboldpnotx,AG,27.180677,-81.20068,9,2017/3/30,2017/10/29,120,329,213,EVI2,0.350038172,0.303192026,0.304549432,0.318475739,0.277130861,0.277269468,0.334869214,0.335887054,0.351551376,0.325117042,0.314458507,0.37945937,0.391971203,0.401715552,0.383023764,0.397697419,0.37566184,0.374041383,0.282252831,0.411461929,0.419316397,0.489577639,0.549327083,0.315567172,0.535085849,0.40068089,0.468894099,0.464281971,0.424831715,0.474445535,0.421931204,0.441684066,0.414046485,0.472887872,0.484176378,0.412100423,0.357644626,0.389219113,0.408143784,0.374521783,0.368276455,0.330075174,0.37138213,0.336860943,0.332347559,0.337333709
7,archboldpnotx,AG,27.180677,-81.20068,9,2018/3/26,2018/11/30,116,360,249,EVI2,0.356061094,0.305365275,0.331262643,0.31333084,0.252975858,0.199736931,0.353214424,0.304547789,0.364702542,0.335112354,0.32678195,0.346755568,0.366701775,0.380168653,0.368335569,0.365100596,0.384713715,0.345252961,0.333202145,0.37014297,0.454809722,0.511574231,0.579612027,0.247170275,0.562806448,0.380871982,0.461865682,0.507748801,0.495424928,0.554666986,0.467961846,0.431509094,0.417880083,0.5158825,0.457670073,0.351505172,0.340056108,0.388125695,0.408686561,0.328963282,0.360322042,0.320830851,0.377681356,0.327205836,0.316368953,0.318696948
8,archboldpnot,AG,27.187948,-81.200345,9,2017/2/12,2017/12/13,72,373,304,EVI2,0.362084017,0.307538524,0.357975854,0.30818594,0.228820855,0.122204394,0.371559633,0.273208525,0.377853708,0.345107666,0.339105392,0.314051766,0.341432347,0.358621755,0.353647374,0.332503774,0.393765589,0.316464539,0.384151458,0.328824011,0.490303047,0.533570823,0.609896972,0.178773377,0.590527047,0.361063075,0.454837266,0.551215632,0.56601814,0.634888438,0.513992487,0.421334122,0.421713682,0.558877128,0.431163767,0.290909921,0.322467591,0.387032276,0.409229338,0.283404782,0.352367629,0.311586527,0.383980583,0.31755073,0.300390348,0.300060187
9,archboldpnot,AG,27.187948,-81.200345,9,2018/2/11,2018/12/5,71,365,297,EVI2,0.299747003,0.296700728,0.28909096,0.300474273,0.301260173,0.323821324,0.317983089,0.354687805,0.352780929,0.349821296,0.364039737,0.399108687,0.397530384,0.361937615,0.438657617,0.46753523,0.401727269,0.514368616,0.126031379,0.55098904,0.448062209,0.479020828,0.548499227,0.458340993,0.599035917,0.257661187,0.351451797,0.471156731,0.503275698,0.469213778,0.459908653,0.321349057,0.344461643,0.523682547,0.50838109,0.562646461,0.490357786,0.474659915,0.304183721,0.377181446,0.387573882,0.372711996,0.354149835,0.380447813,0.355084677,0.215150027
10,archboldwet,AG,27.19,-81.21,8,2017/4/27,2017/10/27,147,327,183,EVI2,0.298424267,0.292987051,0.298006868,0.320242381,0.309603711,0.326519905,0.319024527,0.330448856,0.310879614,0.293827415,0.29675574,0.34103457,0.326665134,0.350404949,0.375995326,0.449157195,0.425059975,0.567048314,0.285957952,0.605822276,0.483221922,0.534843459,0.525254153,0.494947855,0.610552704,0.336435515,0.407955924,0.379883308,0.457416754,0.377509852,0.425422947,0.331631855,0.363318691,0.480015507,0.462953078,0.485319916,0.411553875,0.409616174,0.302626175,0.324033221,0.34408413,0.335440015,0.298999103,0.306635936,0.285272931,0.213915071
11,archboldwet,AG,27.19,-81.21,8,2018/4/28,2018/11/8,148,338,194,EVI2,0.297101531,0.289273374,0.306922777,0.34001049,0.317947249,0.329218486,0.320065966,0.306209906,0.268978299,0.237833535,0.229471743,0.282960453,0.255799885,0.338872284,0.313333034,0.430779159,0.448392681,0.619728012,0.445884526,0.660655511,0.518381635,0.590666089,0.502009079,0.531554717,0.622069492,0.415209843,0.46446005,0.288609886,0.411557811,0.285805926,0.390937242,0.341914654,0.382175739,0.436348467,0.417525066,0.40799337,0.332749964,0.344572433,0.30106863,0.270884995,0.300594378,0.298168033,0.24384837,0.23282406,0.215461186,0.212680115
12,arsgacp1,AG,31.5109,-83.6179,96,2016/8/27,2016/10/29,267,329,63,EVI2,0.295778795,0.285559697,0.315838685,0.359778598,0.326290786,0.331917068,0.321107404,0.281970957,0.227076984,0.181839654,0.162187745,0.224886336,0.184934636,0.327339619,0.250670743,0.412401124,0.471725387,0.672407709,0.605811099,0.715488746,0.553541349,0.646488719,0.478764005,0.568161579,0.63358628,0.49398417,0.520964176,0.197336464,0.365698868,0.194102,0.356451537,0.352197452,0.401032787,0.392681427,0.372097054,0.330666825,0.253946053,0.279528692,0.299511085,0.217736769,0.257104626,0.260896052,0.188697638,0.159012183,0.145649441,0.211445158
13,arsgacp1,AG,31.5109,-83.6179,96,2017/1/30,2017/10/15,60,315,258,EVI2,0.153240541,0.191663003,0.222935806,0.199596064,0.225577265,0.303940192,0.322148843,0.339325376,0.373998694,0.30648338,0.288711992,0.223108992,0.206505254,0.221039896,0.238918259,0.167406608,0.321551153,0.376049101,0.41847736,0.250922326,0.303948236,0.36183359,0.39436293,0.485003675,0.611952625,0.629037949,0.598237667,0.653347656,0.750079643,0.652047061,0.826263099,0.704694351,0.606111785,0.715464964,0.565604127,0.242031063,0.313202004,0.228318271,0.22336492,0.180482992,0.26509083,0.250091878,0.293205582,0.234512717,0.281953568,0.301031713
14,arsgacp1,AG,31.5109,-83.6179,96,2018/5/24,2018/10/28,174,328,157,EVI2,0.301031713,0.302653703,0.307880065,0.324244632,0.319619017,0.148543827,0.306012001,0.291404362,0.331789496,0.354311558,0.330198343,0.411949184,0.388636697,0.384612744,0.211587929,0.184122837,0.184752654,0.195487247,0.260236428,0.194306984,0.241029381,0.37205953,0.403342028,0.541236395,0.554008586,0.816087322,0.598574915,0.903352199,0.797453323,0.452829006,0.826171334,0.776233902,0.593075184,0.542888165,0.500973018,0.30847602,0.284440444,0.247028156,0.224234584,0.253482799,0.185319672,0.198915646,0.206115794,0.270115712,0.17669808,0.202411618
15,arsgacp2,AG,31.4395,-83.591456,101,2016/6/28,2016/10/6,208,306,100,EVI2,0.246167353,0.235252573,0.222226746,0.228347715,0.221187276,0.205634416,0.298095712,0.223923403,0.195514049,0.344838879,0.272547076,0.355579869,0.371079443,0.395142768,0.452649047,0.493118842,0.473857967,0.513237889,0.471189237,0.401056441,0.307925741,0.31095861,0.281671859,0.451463309,0.325010182,0.439308067,0.620571936,0.578621623,0.493314511,0.328977481,0.398477517,0.364211014,0.333667761,0.370310479,0.44210938,0.294700961,0.268026838,0.316580069,0.307658315,0.250519792,0.280354132,0.265550303,0.217149376,0.182201622,0.22844495,0.258874327
16,arsgacp2,AG,31.4395,-83.591456,101,2017/5/31,2017/9/28,181,298,120,EVI2,0.221689976,0.229617773,0.1471815,0.245199984,0.238025742,0.262786951,0.290179424,0.315236991,0.334965173,0.37218184,0.347106288,0.450821332,0.54134904,0.451594424,0.378824454,0.406211076,0.457582349,0.401792689,0.400559428,0.300394488,0.379241031,0.348222545,0.385583023,0.383880662,0.30563724,0.196375601,0.306960427,0.226824766,0.386710028,0.367500465,0.466614784,0.50612163,0.429707193,0.416425988,0.255782177,0.276194462,0.278709137,0.29400734,0.287279894,0.287854086,0.29820498,0.309358592,0.355950767,0.298826571,0.327439877,0.266991284
17,arsltarmdcr,AG,39.0587,-75.8513,17,2017/5/23,2017/11/19,173,349,180,EVI2,0.142323749,0.156019164,0.09938504,0.159962094,0.160165159,0.185048367,0.243831107,0.229851238,0.247797176,0.278602075,0.269164685,0.342305623,0.405517024,0.341397266,0.306848618,0.335453214,0.366703817,0.330133895,0.351562398,0.313909505,0.366227946,0.37108303,0.403151737,0.417217748,0.36755306,0.325096852,0.373525338,0.317808329,0.414144281,0.40460263,0.459835021,0.486236238,0.380133039,0.357848618,0.241342824,0.259730676,0.260321979,0.26165135,0.255992178,0.251653084,0.193963261,0.226291911,0.260204915,0.199448653,0.224262374,0.185739325
